NAME                                READY   STATUS             RESTARTS       AGE   IP           NODE                    NOMINATED NODE   READINESS GATES
blog-db-9995df486-bvck8             1/1     Running            0              21m   10.42.1.19   k3d-blog-dev-agent-1    <none>           <none>
blog-service-648d6d649f-k2t6x       1/1     Running            0              10m   10.42.0.16   k3d-blog-dev-agent-0    <none>           <none>
file-db-8568ddcf5b-v5rq2            1/1     Running            0              21m   10.42.2.16   k3d-blog-dev-server-0   <none>           <none>
file-service-54944bf846-n8qd9       1/1     Running            0              10m   10.42.1.20   k3d-blog-dev-agent-1    <none>           <none>
frontend-57bb4d6455-8dc48           1/1     Running            0              49m   10.42.1.10   k3d-blog-dev-agent-1    <none>           <none>
seaweedfs-filer-5c5644545-kvzfg     1/1     Running            0              42m   10.42.1.15   k3d-blog-dev-agent-1    <none>           <none>
seaweedfs-master-576dd89d44-hcdfg   1/1     Running            0              42m   10.42.1.16   k3d-blog-dev-agent-1    <none>           <none>
seaweedfs-volume-786ffdcb77-hqwzw   1/1     Running            0              42m   10.42.2.13   k3d-blog-dev-server-0   <none>           <none>
user-db-b8c55678c-sf474             1/1     Running            0              21m   10.42.0.15   k3d-blog-dev-agent-0    <none>           <none>
user-service-75f46d9fdd-mq7xl       0/1     Running            2 (12s ago)    10m   10.42.1.21   k3d-blog-dev-agent-1    <none>           <none>
user-service-bdd57f4d5-wng7p        0/1     CrashLoopBackOff   13 (96s ago)   49m   10.42.2.9    k3d-blog-dev-server-0   <none>           <none>
